=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.19 15:20:42 =~=~=~=~=~=~=~=~=~=~=~=
885, 183, -127, 662, 0.58
1052, 183, -127, 662, -0.66
1219, 184, -127, 662, 0.19
1386, 183, -127, 662, -0.15
1553, 181, -127, 662, -0.21
1720, 183, -127, 661, -0.18
1887, 185, -127, 662, -0.33
2053, 182, -128, 661, -0.30
2220, 185, -128, 661, -0.38
2386, 187, -128, 662, -0.29
2553, 181, -127, 662, -0.41
2720, 185, -127, 662, -0.41
2887, 183, -127, 662, -0.44
3054, 181, -127, 661, -0.46
3221, 183, -128, 661, -0.44
3388, 179, -127, 662, -0.47
3555, 183, -128, 662, -0.43
3722, 184, -128, 662, -0.59
3889, 185, -128, 662, -0.60
4056, 183, -128, 663, -0.57
4222, 184, -127, 665, -0.86
4389, 184, -127, 666, -1.36
4556, 190, -128, 667, 7.01
4723, 187, -128, 666, 11.64
4890, 189, -128, 668, 6.93
5057, 188, -130, 672, 22.37
5224, 182, -132, 688, 92.43
5391, 168, -133, 727, 306.08
5558, 152, -135, 774, 679.51
5724, 131, -137, 782, 950.64
5891, 155, -131, 739, 837.90
6057, 185, -129, 696, 342.94
6224, 185, -129, 687, 208.55
6391, 190, -128, 684, 145.06
6558, 187, -129, 683, 118.90
6725, 188, -131, 696, 137.04
6892, 174, -137, 733, 331.46
7059, 167, -144, 783, 745.10
7226, 167, -153, 802, 1055.15
7393, 164, -149, 792, 1125.79
7560, 179, -136, 731, 1003.77
7727, 191, -135, 695, 456.90
7894, 189, -133, 685, 194.95
8060, 184, -132, 686, 127.81
8227, 186, -136, 706, 173.61
8394, 184, -144, 761, 484.37
8561, 167, -155, 814, 980.13
8728, 184, -162, 843, 1319.40
8895, 178, -166, 849, 1386.39
9062, 172, -164, 844, 1399.43
9229, 169, -160, 830, 1322.18
9396, 162, -155, 816, 1180.64
9563, 168, -155, 816, 1080.71
9730, 170, -158, 819, 1106.26
9896, 175, -157, 816, 1125.81
10063, 187, -146, 751, 939.79
10230, 171, -139, 693, 604.07
10397, 168, -135, 679, 122.54
10564, 167, -133, 677, 20.38
10731, 167, -134, 683, 23.86
10898, 172, -141, 714, 129.38
11065, 180, -156, 791, 592.48
11232, 155, -169, 842, 1206.25
11399, 170, -163, 822, 1356.95
11566, 191, -144, 739, 1174.76
11732, 176, -139, 695, 493.23
11899, 172, -138, 689, 159.06
12066, 172, -140, 700, 141.37
12233, 187, -149, 745, 332.08
12400, 216, -160, 816, 837.80
12567, 220, -159, 823, 1295.22
12734, 203, -146, 757, 976.66
12901, 186, -137, 702, 666.55
13069, 177, -134, 685, 203.61
13236, 176, -135, 680, 67.10
13403, 178, -136, 688, 52.43
13570, 197, -144, 732, 216.34
13736, 220, -156, 795, 734.37
13903, 205, -165, 841, 1196.29
14070, 214, -155, 807, 1326.94
14237, 201, -139, 719, 1065.13
14404, 183, -135, 688, 327.21
14571, 175, -136, 687, 91.37
14738, 175, -137, 691, 109.09
14905, 181, -140, 711, 186.10
15072, 216, -148, 773, 490.48
